SISTEM INVENTORY UTAMA & STOCK OPNAME,,,,,,,,,,,,,,,,,,,,,,,,
MASTER DATA INVENTORY,,,,,,,,FLOW LOG (INPUT/OUTPUT),,,,,,,,STOCK OPNAME (AUDIT LOG),,,,,,,,
Kode Part,Nama Part,Stok Awal,Total Masuk,Total Keluar,Stok Akhir Sistem,Stok Fisik Terakhir,Selisih Audit,,Tanggal PO,No PO,Kode Part,Nama Part,Jenis Flow,Jumlah (Qty),Keterangan,,Tanggal Audit,Auditor,Kode Barang,,Stok Sistem,Stok Fisik,Selisih,Keterangan
609001821AABCE,TRIM PANEL-FR DOOR LH,,0,0,0,,,,2026-07-09,,609001821AABCE,TRIM PANEL-FR DOOR LH,Masuk,0,,,,,,,,,,
609001822AABCE,TRIM PANEL-FR DOOR RH,,2,0,2,,,,2026-07-09,,609001822AABCE,TRIM PANEL-FR DOOR RH,Masuk,2,,,,,,,,,,
602005165AA,UPR BODY-FR BUMPER ,,0,0,0,,,,2026-07-09,,602005165AA,UPR BODY-FR BUMPER ,Masuk,0,,,,,,,,,,
602008540AA,UPPER BODY-RR BUMPER,,1,0,1,,,,2026-07-09,,602008540AA,UPPER BODY-RR BUMPER,Masuk,0,,,,,,,,,,
609002389AA,RR-RH WHEEL ARCH ASSY,,10,0,10,,,,2026-07-09,,609002389AA,RR-RH WHEEL ARCH ASSY,Masuk,5,,,,,,,,,,
609002388AA,REAR WHEEL ARCH TRIM LH,,8,0,8,,,,2026-07-09,,609002388AA,REAR WHEEL ARCH TRIM LH,Masuk,4,,,,,,,,,,
609001974AA,FR-RH WHEEL ARCH TRIM,,1,0,1,,,,2026-07-09,,609001974AA,FR-RH WHEEL ARCH TRIM,Masuk,1,,,,,,,,,,
609001973AA,FR-LH WHEEL ARCH TRIM,,1,0,1,,,,2026-07-09,,609001973AA,FR-LH WHEEL ARCH TRIM,Masuk,1,,,,,,,,,,
609002394AA,TRIM PANEL-FR DOOR LH,,3,0,3,,,,2026-07-09,,609002388AA,REAR WHEEL ARCH TRIM LH,Masuk,4,,,,,,,,,,
609002395AA,TRIM PANEL-FR DOOR RH,,3,0,3,,,,2026-07-09,,609002389AA,RR-RH WHEEL ARCH ASSY,Masuk,5,,,,,,,,,,
609002396AA,TRIM PANEL-RR DOOR LH,,2,0,2,,,,2026-07-09,,609002394AA,TRIM PANEL-FR DOOR LH,Masuk,3,,,,,,,,,,
609002397AA,TRIM PANEL-RR DOOR RH,,4,0,4,,,,2026-07-09,,609002395AA,TRIM PANEL-FR DOOR RH,Masuk,3,,,,,,,,,,
609002387AA,FR WHEEL ARCH TRIM RH,,5,0,5,,,,2026-07-09,,609002396AA,TRIM PANEL-RR DOOR LH,Masuk,2,,,,,,,,,,
609002386AA,FR WHEEL ARCH TRIM LH ,,3,0,3,,,,2026-07-09,,609002397AA,TRIM PANEL-RR DOOR RH,Masuk,4,,,,,,,,,,
602001561AA,BRACKET FRONT BUMPER RH,,10,0,10,,,,2026-07-09,,609002387AA,FR WHEEL ARCH TRIM RH,Masuk,5,,,,,,,,,,
602001560AA, LH BRACKET-FR BUMPER,,10,0,10,,,,2026-07-09,,609002386AA,FR WHEEL ARCH TRIM LH ,Masuk,3,,,,,,,,,,
202000812AA,REAR LONGITUDINAL ARM ASSY,,0,0,0,,,,2026-07-09,,602001561AA,BRACKET FRONT BUMPER RH,Masuk,0,,,,,,,,,,
602007598AAAKH,LH EXHAUST PIPE TRIM COVER,,0,0,0,,,,2026-07-09,,602001560AA, LH BRACKET-FR BUMPER,Masuk,0,,,,,,,,,,
602002156AA,LWR BODY-FR BUMPER,,3,0,3,,,,2026-07-09,,202000812AA,REAR LONGITUDINAL ARM ASSY,Masuk,0,,,,,,,,,,
F16-5500170CA,MOULDING FENDER RR LH,,1,0,1,,,,2026-07-09,,602007598AAAKH,LH EXHAUST PIPE TRIM COVER,Masuk,0,,,,,,,,,,
609000052AA,Part Tidak Ditemukan,,0,0,0,,,,2026-07-09,,602002156AA,LWR BODY-FR BUMPER,Masuk,3,,,,,,,,,,
609002214AA,TRIM PANEL-RR DOOR RH,,1,0,1,,,,2026-07-09,,,,Masuk,0,,,,,,,,,,
609000627AADQJ,TRIM PANEL-RR DOOR RH,,1,0,1,,,,2026-07-09,,F16-5500170CA,MOULDING FENDER RR LH,Masuk,1,,,,,,,,,,
609001823AABCE,TRIM PANEL-RR DOOR LH,,0,0,0,,,,2026-07-09,,609000052AA,Part Tidak Ditemukan,Masuk,0,,,,,,,,,,
609001056AA,TRIM PANEL-RR DOOR RH,,1,0,1,,,,2026-07-09,,609002214AA,TRIM PANEL-RR DOOR RH,Masuk,1,,,,,,,,,,
605000722,RR-LH STOPLAMP,,1,0,1,,,,2026-07-09,,609000627AADQJ,TRIM PANEL-RR DOOR RH,Masuk,0,,,,,,,,,,
605000723,RR-RH STOPLAMP,,1,0,1,,,,2026-07-09,,609001823AABCE,TRIM PANEL-RR DOOR LH,Masuk,0,,,,,,,,,,
601000431AABCE,REARVIEW MIRROR OTR-RH,,0,0,0,,,,2026-07-09,,609001056AA,TRIM PANEL-RR DOOR RH,Masuk,1,,,,,,,,,,
601000430AABCE,REARVIEW MIRROR OTR-LH,,2,0,2,,,,2026-07-09,,602001561AA,BRACKET FRONT BUMPER RH,Masuk,10,,,,,,,,,,
602007723AA,TRIM COVER-FOG LAMP LH,,2,0,2,,,,2026-07-09,,602001560AA, LH BRACKET-FR BUMPER,Masuk,10,,,,,,,,,,
602007724AA,TRIM COVER-FOG LAMP RH,,1,0,1,,,,2026-07-09,,605000722,RR-LH STOPLAMP,Masuk,1,,,,,,,,,,
