Part Number,"Nama Mobil
VIN ",No,Nama Sparepart,Harga Jual,Disc.,After discount,Stock & Lead Time,,Harga Modal,Harga Modal ATPM,Modal Vendor A,,,Modal Vendor B,,,Modal Vendor C,,,Ongkir,Gross Profit Before Disc.,% Gross Profit Before Disc.,GP After Disc.,% GP After Disc.
,Total After Disc,,"Rp5,819,500",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
GSJ850031 BB,"Mazda 6 Sedan , VIN : JM6GL1033P0501152",1,BUMPER FR - ,"Rp4,000,000",10%,"Rp3,600,000","Indent, 4-5 Minggu Kerja",,"Rp1,004,850","Rp5,570,800",,"Rp704,850",TRUE,,,FALSE,,,FALSE,"Rp300,000","Rp2,995,150",74.9%,"Rp2,595,150",72.1%
BAN - KAPSEN 225/45R19 92W,,2,BAN - Accelera EVT 225/45R19 92W,"Rp1,800,000",0%,"Rp1,800,000","Ex Stock, 3-4 Hari Kerja",,"Rp1,350,000",Barang Non ATPM,,"Rp1,350,000",TRUE,,,FALSE,,,FALSE,,"Rp450,000",25.0%,"Rp450,000",25.0%
GBVG50131,,3,LIST CHROME LH - ,"Rp600,000",10%,"Rp540,000","Indent, 4-5 Minggu Kerja",,"Rp522,000","Rp678,300",,"Rp222,000",TRUE,,,FALSE,,,FALSE,"Rp300,000","Rp78,000",13.0%,"Rp18,000",3.3%
GSH750102,,4,KEDUDUKAN CHROME LH - ,"Rp400,000",10%,"Rp360,000","Indent, 4-5 Minggu Kerja",,"Rp586,750","Rp197,800",,"Rp286,750",TRUE,,,FALSE,,,FALSE,"Rp300,000","-Rp186,750",-46.7%,"-Rp226,750",-63.0%
GSH750104,,5,COVER ANGIN LH - ,"Rp250,000",10%,"Rp225,000","Indent, 4-5 Minggu Kerja",,"Rp466,500","Rp261,400",,"Rp166,500",TRUE,,,FALSE,,,FALSE,"Rp300,000","-Rp216,500",-86.6%,"-Rp241,500",-107.3%
GSH7501V0,,6,COVER DLM PENUTUP KEDUDUKAN - ,"Rp600,000",10%,"Rp540,000","Indent, 4-5 Minggu Kerja",,"Rp475,750","Rp666,600",,"Rp175,750",TRUE,,,FALSE,,,FALSE,"Rp300,000","Rp124,250",20.7%,"Rp64,250",11.9%
C27450133,,7,KLIP BUMPER - ,,,,,,"Rp148,000","Rp28,500",,"Rp148,000",TRUE,,,FALSE,,,FALSE,,,,,
,Total,,"Rp7,650,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,Total After Disc,,"Rp7,065,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,Barang Non ATPM,,CH - DITAI,FALSE,,SG - JAE AUTO,FALSE,,MY - CT,FALSE,,,,,
75078-48020,"TYT HARRIER 2.5 HYBRID A/T 2025 , VIN: JTEAD3BH70J002010",1,MOULDING PINTU RR LH,"Rp2,250,000",10%,"Rp2,025,000","Indent, 4-5 Minggu Kerja",,"Rp916,000",Barang Non ATPM,,"Rp666,000",TRUE,,"Rp1,450,000",FALSE,,,FALSE,"Rp250,000","Rp1,334,000",59.3%,"Rp1,109,000",54.8%
75860-48060,,2,COVER TRISPLANG LH,"Rp3,000,000",10%,"Rp2,700,000","Indent, 4-5 Minggu Kerja",,"Rp1,915,000",Barang Non ATPM,,"Rp1,665,000",TRUE,,"Rp3,480,000",FALSE,,"Rp3,690,000",FALSE,"Rp250,000","Rp1,085,000",36.2%,"Rp785,000",29.1%
65632-0E010,,3,COVER FENDER RR LH,"Rp726,500",10%,"Rp653,850","Indent, 4-5 Minggu Kerja",,"Rp453,500",Barang Non ATPM,,"Rp203,500",TRUE,,,FALSE,,,FALSE,"Rp250,000","Rp273,000",37.6%,"Rp200,350",30.6%
BAN - DUNLOP BLUE RESPONSE 225/60 R18,,4,BAN DUNLOP BLUE RESPONSE 225/60 R18 RR LH,"Rp1,845,000",0%,"Rp1,845,000",Ready Stock,,"Rp1,230,000",,,"Rp1,230,000",TRUE,,,FALSE,,,FALSE,,"Rp615,000",33.3%,"Rp615,000",33.3%
4261A-48290,,5,VELG RR LH,"Rp10,000,000",10%,"Rp9,000,000","Indent, 4-5 Minggu Kerja",,"Rp3,728,000",,,"Rp3,478,000",TRUE,,,FALSE,,,FALSE,"Rp250,000","Rp6,272,000",62.7%,"Rp5,272,000",58.6%
,Total,,"Rp17,821,500",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,Total After Disc,,"Rp16,223,850",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
53301-78060,,,Kap mesin,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
53801-78020,,,Fender depan kanan,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
81016-78311/module,,,Headlamp kanan + modul nya,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
52119-78959,,,Bumper depan,"Rp7,584,000",,"Rp7,584,000",,,"Rp5,056,000",,,"Rp4,950,000",TRUE,,,FALSE,,,FALSE,"Rp106,000","Rp2,528,000",33.3%,"Rp2,528,000",33.3%
53388-78020,,,Cover engsel kap mesin kanan,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
53111-78210/20/30,,,Grille radiator,"Rp8,934,000",,"Rp8,934,000",,,"Rp5,956,000",,,"Rp5,850,000",TRUE,,,FALSE,,,FALSE,"Rp106,000","Rp2,978,000",33.3%,"Rp2,978,000",33.3%
85207-78050 + 85361-78010,,,Nozel headlamp kanan,,,,,,,,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
85353-78030-AO,,,Cover nozel headlamp kanan,,,,,,,,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
53127-78060,,,Cover foglamp bumper depan kanan,,,,,,,,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
16681-25060,,,Cover panel radiator atas,,,,,,,,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
53550-78020,,,Engsel kap mesin kanan,,,,,,,,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
,,,Breket bumper depan kanan,,,,,,,,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
,,,Inlet radiator kanan,,,,,,,,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
15301-25060,,,Stik pengukur oli,,,,,,,,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
12602-25020,,,Cover penutup engine depan,,,,,,,,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
53205-78030,,,Panel radiator atas,,,,,,,,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
53114-78011,,,Breket bumper depan bagian atas,,,,,,,,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
53395-78030,,,Karet bumper bagian atas,,,,,,,Barang Non ATPM,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
531550-78230,,,Breket grille depan tengah,,,,,,,Barang Non ATPM,,,FALSE,,,FALSE,,,FALSE,"Rp106,000",,,,
,Total,,Rp0,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,Total After Disc,,Rp0,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
A0003570091,"Mercedes Benz GLC 250 2018, VIN : WDC2539462F443713",1,KARET/BOOTH AS TARIK LUAR KIRI DEPAN,"Rp1,500,000",,"Rp1,500,000",,,"Rp630,000",,,"Rp594,000",TRUE,,,FALSE,,,FALSE,"Rp36,000","Rp870,000",58.0%,"Rp870,000",58.0%
,,2,KARET/BOOTH AS TARIK LUAR KIRI DEPAN OEM,"Rp1,000,000",,"Rp1,000,000",,,"Rp216,000",,,"Rp180,000",TRUE,,,FALSE,,,FALSE,"Rp36,000","Rp784,000",78.4%,"Rp784,000",78.4%
,Total,,"Rp1,500,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,Total After Disc,,"Rp1,500,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
KB8NV3290TT,"MAZDA CX-5 2019, VIN: PP1KFA333KM100070, Cust: CAKRAWALA",1,Ext Spoiler Bumper FR (SILVER),"Rp1,800,000",10%,"Rp1,620,000",,,,"Rp1,111,200",,,FALSE,,,FALSE,,,FALSE,,"Rp1,800,000",100.0%,"Rp1,620,000",100.0%
KB8A507K1B,,2,List Chrome Grill FR LH,"Rp1,400,000",10%,"Rp1,260,000",,,,"Rp1,456,688",,,FALSE,,,FALSE,,,FALSE,,"Rp1,400,000",100.0%,"Rp1,260,000",100.0%
KB8A507J1B,,3,List Chrome Grill FR RH,"Rp1,400,000",10%,"Rp1,260,000",,,,"Rp1,456,688",,,FALSE,,,FALSE,,,FALSE,,"Rp1,400,000",100.0%,"Rp1,260,000",100.0%
GMK667UC1 2Y,,4,Sensor FR LH,"Rp2,200,000",10%,"Rp1,980,000",,,,"Rp1,318,600",,,FALSE,,,FALSE,,,FALSE,,"Rp2,200,000",100.0%,"Rp1,980,000",100.0%
KD4767UC5APR,,5,Topi Sensor FR LH,"Rp170,000",10%,"Rp153,000",,,,"Rp121,010",,,FALSE,,,FALSE,,,FALSE,,"Rp170,000",100.0%,"Rp153,000",100.0%
KB8A50717D,,6,Cover Tutup Radiator,"Rp800,000",10%,"Rp720,000",,,,"Rp870,000",,,FALSE,,,FALSE,,,FALSE,,"Rp800,000",100.0%,"Rp720,000",100.0%
-,,7,Clip,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,Total,,"Rp7,770,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,Total After Disc,,"Rp6,993,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
3401100-EV01RP,SUPERCAB - M415 - DK15 (BENSIN) / VIN : MKFB1M4A1SJ013671 - BP 8241 YY (PT. MAJESTY SINERGI NUSANTARA),,STEERING DEVICE ASSY,,,,,,,"Rp528,915",,,FALSE,,,FALSE,,,FALSE,,,,,
1600000-01JAP,,,GASOLINE OIL SL 10W-40 4L,,,,,,,"Rp223,887",,,FALSE,,,FALSE,,,FALSE,,,,,
