Part Number,"Nama Mobil
VIN ",No,Nama Sparepart,Harga Jual,Disc.,After discount,Stock & Lead Time,,Harga Modal,Harga Modal ATPM,Modal Vendor A,,,Modal Vendor B,,,Modal Vendor C,,,Ongkir,Gross Profit Before Disc.,% Gross Profit Before Disc.,GP After Disc.,% GP After Disc.
BCKN50A20A,,6,COVER CHASIS LINTANG BAWAH,"Rp684,200",15%,"Rp581,570",4-5 Minggu Kerja,,"Rp183,475","Rp627,300",,"Rp183,475",TRUE,,,FALSE,,,FALSE,,"Rp500,725",73.2%,"Rp398,095",68.5%
BCKA507E0D51,,7,TOPI BUMPER BAGIAN ATAS,"Rp4,000,000",15%,"Rp3,400,000",4-5 Minggu Kerja,,"Rp855,000","Rp3,702,500",,"Rp855,000",TRUE,,,FALSE,,,FALSE,,"Rp3,145,000",78.6%,"Rp2,545,000",74.9%
BCKA507E0D51,,8,COVER PANEL RADIATOR ATAS,"Rp5,871,234",15%,"Rp4,990,549",1-2 Minggu Kerja,,Rp0,"Rp3,702,500",,,TRUE,,,FALSE,,,FALSE,,"Rp5,871,234",100.0%,"Rp4,990,549",100.0%
BCKA500S0B,,9,COVER CHASIS LINTANG  ,"Rp2,480,000",15%,"Rp2,108,000",4-5 Minggu Kerja,,"Rp198,000","Rp1,152,500",,"Rp198,000",TRUE,,,FALSE,,,FALSE,,"Rp2,282,000",92.0%,"Rp1,910,000",90.6%
BCJH53110B,,10,PANEL RADIATOR ASSY,"Rp5,913,636",15%,"Rp5,026,591",4-5 Minggu Kerja,,"Rp644,400","Rp3,729,400",,"Rp644,400",TRUE,,,FALSE,,,FALSE,,"Rp5,269,236",89.1%,"Rp4,382,191",87.2%
,Total,,"Rp40,049,657",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,"Rp36,224,782",,"Rp30,217,333",
,Total After Disc,,"Rp34,042,208",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,RMB,IDR,FALSE,,,FALSE,,,FALSE,,,,,
52169-0E1780,"TOYOTA HARRIER 2.0 A/T 2024, VIN : MXUA800097129",1,SPOILER BUMPER BELAKANG DOFF (OEM Quality),"Rp1,800,000",10%,"Rp1,620,000",4-5 Minggu Kerja,,"Rp752,000",,¥90.00,"Rp252,000",TRUE,,"Rp2,100,000",FALSE,,,FALSE,"Rp500,000","Rp1,048,000",58.2%,"Rp868,000",53.6%
,Total,,"Rp1,800,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,Total After Disc,,"Rp1,620,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,RUIKAI,,FALSE,,,FALSE,,,FALSE,,,,,
4121105XKV3BA,GWM TANK 300 VIN : MNUBC4S70RR250565,1,"COMB LAMP ASSY,FR RH","Rp23,000,000",10%,"Rp20,700,000","Indent, 5-6 Minggu Kerja",,"Rp13,846,000","Rp19,957,000",$720.00,"Rp13,046,000",TRUE,,,FALSE,,,FALSE,"Rp800,000","Rp9,154,000",39.8%,"Rp6,854,000",33.1%
,Total,,"Rp23,000,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,Total After Disc,,"Rp20,700,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
PE0114302 TT,,1,OIL FILTER,"Rp50,000",,"Rp50,000",,,"Rp21,720","Rp82,250",$1.20,"Rp21,720",TRUE,$0.58,"Rp10,498",FALSE,,,FALSE,,,0.0%,,0.0%
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
87946-48B20,"Toyota Harrier G 2.5 Hybrid 2024, VIN : AXUH800075356",1,SPION LH (Original),"Rp16,000,000",10%,"Rp14,400,000","Indent, 1 Minggu Kerja",,"Rp8,505,000",,-,"Rp8,505,000",TRUE,,,FALSE,,,FALSE,Rp0,"Rp7,495,000",46.8%,"Rp5,895,000",40.9%
87945-48040-A0 ,,2,COVER SPION LH (Original),"Rp850,000",10%,"Rp765,000","Ex Stock, 3-5 Hari Kerja",,"Rp450,000",,-,"Rp450,000",TRUE,,,FALSE,,,FALSE,Rp0,"Rp400,000",47.1%,"Rp315,000",41.2%
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
