ATPM,,,,,,,,,,,,,,,,,ATPM,,,,,,,,Non - ATPM,,,,,NON - ATPM,,,,,,,,,,,,
PO Number,PO Date,Spare Part Number,Spare Part Name,Brand Name,Vendor Name,Quality Part,Qty.,ATPM Price,Total ATPM Price,HPP,Total HPP,Total Selling Price,Gross Profit,Gross Profit %,Total Savings,Total Saving Percentage,PO Date - Month,Total Revenue,Total HPP ,Gross Profit,Gross Profit %,Total Savings,AVERAGE of Total Saving Percentage,,PO Date - Month,Total Revenue,Total HPP ,Gross Profit,Gross Profit %,PO Number,PO Date,Spare Part Number,Spare Part Name,Brand Name,Vendor Name,Quality Part,Qty.,HPP (IDR),Total HPP(IDR) ,Total Selling Price,Gross Profit,Gross Profit %
TD260607,6/30/2026,204007081AA,RR BRAKE PAD,CHERY,Anhui Ruikai,OM,2 SET,"Rp1,141,635","Rp2,283,270","Rp278,093","Rp556,186","Rp1,300,000","Rp743,814",57.22%,"Rp863,542",43.06%,,,,,,,,,,,,,,TD260703,7/6/2026,ABJT0002,RAIN VISOR,JETOUR,"Autobridge (Xiamen) Vehicle Parts Co.,LTD.",OL,1,"Rp206,338",,"Rp650,000","Rp650,000",100.00%
TD260607,6/30/2026,T28-3JS3502080,RR BRAKE PAD,CHERY,Anhui Ruikai,OM,2 SET,"Rp1,380,840","Rp2,761,680","Rp516,459","Rp1,032,918","Rp1,600,000","Rp567,082",35.44%,"Rp864,381",42.06%,,,,,,,,,,,,,,TD260710,7/14/2026,KT0458415,"CAP,CYL-OUTER HANDLE",MAZDA,PT.EUROKARS MOTOR INDONESIA,OL,1,"Rp70,283",,"Rp98,235","Rp98,235",100.00%
TD260606,6/30/2026,3658100-FK01P,AIR BAG ECU,DFSK,"Beauvais Auto Parts Co., LTD",OM,1 SET,"Rp1,415,805","Rp1,415,805","Rp1,006,433","Rp1,006,433","Rp1,326,000","Rp319,567",24.10%,"Rp409,372",6.34%,,,,,,,,,,,,,,,,,,,,,,,,,,
TD260701,7/2/2026,608000446AA,WIPER BLADE-SUB,JETOUR,"Beauvais Auto Parts Co., LTD",OL,5 SET,"Rp185,957","Rp929,785","Rp132,425","Rp662,127","Rp1,339,820","Rp677,693",50.58%,"Rp53,532",-44.10%,,,,,,,,,,,,,,,,,,,,,,,,,,
TD260701,7/2/2026,608000389AA,WIPER BLADE-MASTER,JETOUR,"Beauvais Auto Parts Co., LTD",OL,5 SET,"Rp232,472","Rp1,162,360","Rp158,910","Rp794,552","Rp1,674,960","Rp880,408",52.56%,"Rp73,562",-44.10%,,,,,,,,,,,,,,,,,,,,,,,,,,
TD260704,7/7/2026,803000090AA,HORN-LOW TONE,CHERY,Anhui Ruikai,OM,1 SET,"Rp179,991","Rp179,991","Rp95,095","Rp95,095","Rp155,000","Rp59,905",38.65%,"Rp84,896",13.88%,,,,,,,,,,,,,,,,,,,,,,,,,,
TD260712,7/16/2026,01R00A013,IGNITION COIL,GWM,Anhui Ruikai,OM,3 SET,WAITING,,"Rp376,791","Rp1,130,374","Rp1,650,000","Rp519,626",31.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD260704,7/7/2026,8/23/29637,BEARING-RR WHL,MG,Anhui Ruikai,OM,1 SET,"Rp732,711","Rp732,711","Rp260,166","Rp260,166","Rp496,000","Rp235,834",47.55%,"Rp472,545",32.31%,,,,,,,,,,,,,,,,,,,,,,,,,,
TD260712,7/16/2026,5305700XKN01A,"AIR OUTLET ASSY,CONSOLE,RR N",GWM,Anhui Ruikai,OM,1 SET,"Rp495,000","Rp495,000","Rp349,878","Rp349,878","Rp390,000","Rp40,122",10.29%,"Rp145,122",21.21%,,,,,,,,,,,,,,,,,,,,,,,,,,
TD260711,7/16/2026,151000079AA,"AIR FILTER, ELEMENT",CHERY,"Beauvais Auto Parts Co., LTD",OL,10 SET,"Rp170,940","Rp1,709,400","Rp113,886","Rp1,138,858","Rp1,550,000","Rp411,142",26.53%,"Rp57,054",9.32%,,,,,,,,,,,,,,,,,,,,,,,,,,
TD260716,7/17/2026,302001607AA,RADIATOR,CHERY,Anhui Ruikai,OM,1 SET,"Rp1,304,805","Rp1,304,805","Rp412,676","Rp412,676","Rp850,000","Rp437,324",51.45%,"Rp892,129",34.86%,,,,,,,,,,,,,,,,,,,,,,,,,,
