ATPM,,,,,,,,,,,,,,,,,ATPM,,,,,,,,Non - ATPM,,,,,NON - ATPM,,,,,,,,,,,,
PO Number,PO Date,Spare Part Number,Spare Part Name,Brand Name,Vendor Name,Quality Part,Qty.,ATPM Price,Total ATPM Price,HPP,Total HPP,Total Selling Price,Gross Profit,Gross Profit %,Total Savings,Total Saving Percentage,PO Date - Month,Total Revenue,Total HPP ,Gross Profit,Gross Profit %,Total Savings,AVERAGE of Total Saving Percentage,,PO Date - Month,Total Revenue,Total HPP ,Gross Profit,Gross Profit %,PO Number,PO Date,Spare Part Number,Spare Part Name,Brand Name,Vendor Name,Quality Part,Qty.,HPP (IDR),Total HPP(IDR) ,Total Selling Price,Gross Profit,Gross Profit %
AB260501,5/12/2026,48530-69415,"ABORBER ASSY, SHOCK, REAR RH/LH",TOYOTA,PT ASUKI BATAM,OL,1 SET,Barang Non ATPM,,"Rp1,300,002","Rp1,300,002","Rp2,067,105","Rp767,103",37.11%,,,,,,,,,,,,,,,,,7/10/2026,BCKN50760C,"MOULD(L),FRONT",MAZDA,CHONGBANG ,OM,1,"Rp287,079","Rp287,079","Rp1,200,000","Rp912,921",76.08%
AB260501,5/12/2026,48530-69415,"ABORBER ASSY, SHOCK, REAR RH/LH",TOYOTA,PT ASUKI BATAM,OL,1 SET,Barang Non ATPM,,"Rp1,300,002","Rp1,300,002","Rp2,067,105","Rp767,103",37.11%,,,,,,,,,,,,,,,,,7/10/2026,BDGF61480A,CONDENSER,MAZDA,CHONGBANG ,OM,1,"Rp950,950","Rp950,950","Rp5,500,000","Rp4,549,050",82.71%
AB260501,5/12/2026,08886-01805,SHOCK ABSORBER OIL 2.5L,TOYOTA,PT ASUKI BATAM,OL,1 SET,Barang Non ATPM,,"Rp430,001","Rp430,001","Rp589,466","Rp159,465",27.05%,,,,,,,,,,,,,,,,TD260710,7/14/2026,PAF215025,RADIATOR FAN ASSY,MAZDA,PT.EUROKARS MOTOR INDONESIA,OL,1,"Rp7,283,846","Rp7,283,846","Rp10,180,587","Rp2,896,741",28.45%
AR260502,5/20/2026,609001033AA,TRIM PANEL-FR DOOR LH,CHERY,Anhui Ruikai,OM,1 SET,"Rp432,900","Rp432,900","Rp82,535","Rp82,535","Rp255,000","Rp172,465",67.63%,"Rp350,365",41.09%,,,,,,,,,,,,,,,7/10/2026,BCJH50070B,"REIN,IMPACT BAR,FRONT BUMPER",MAZDA,CHONGBANG ,OM,1,"Rp645,928","Rp645,928","Rp4,000,000","Rp3,354,072",83.85%
AR260502,5/20/2026,602002649AA,LWR BODY-RR BUMPER,CHERY,Anhui Ruikai,OM,1 SET,"Rp1,407,258","Rp1,407,258","Rp520,331","Rp520,331","Rp1,190,000","Rp669,669",56.27%,"Rp886,927",15.44%,,,,,,,,,,,,,,TD260605,6/20/2026,BST-TUR6-22560R18,BRIDGESTONE TURANZA 6 225/60-R18,TOYOTA,ANEKA BAN,OL,1,"Rp1,520,002","Rp1,520,002","Rp1,900,000","Rp379,998",20.00%
Stock Ready,6/19/2026,602002156AA,LWR BODY-FR BUMPER,CHERY,Anhui Ruikai,OL,1 SET,"Rp1,434,231","Rp1,434,231","Rp807,410","Rp807,410","Rp833,000","Rp25,590",3.07%,"Rp626,821",41.92%,,,,,,,,,,,,,,TD260609,6/30/2026,GSJ850031 BB,FRONT BUMPER,MAZDA,CHONGBANG ,OM,1,"Rp683,607","Rp683,607","Rp3,600,000","Rp2,916,393",81.01%
CT260503,5/22/2026,K0114370XA,"SENSOR(R),FRT-A.B.S.",MAZDA,CT Auto Spare SDN BHD,OL,1 SET,"Rp1,107,000","Rp1,107,000","Rp875,949","Rp875,949","Rp900,000","Rp24,051",2.67%,"Rp231,051",18.70%,,,,,,,,,,,,,,TD260610,6/30/2026,ACC-EVT-22545R19,Accelera EVT 225/45 R19 92W,MAZDA,PT.Lintas teknik mandala (Auto Ban),OL,1,"Rp1,375,002","Rp1,375,002","Rp1,800,000","Rp424,998",23.61%
CT260601,6/4/2026,PY0115908A,"BELT,V",MAZDA,CT Auto Spare SDN BHD,OL,1 SET,"Rp301,699","Rp301,699","Rp284,683","Rp284,683","Rp292,500","Rp7,817",2.67%,"Rp17,016",3.05%,,,,,,,,,,,,,,TD260609,6/30/2026,GBVG50131,"PROTECTOR(L),BUMPER",MAZDA,CHONGBANG ,OM,1,"Rp215,309","Rp215,309","Rp540,000","Rp324,691",60.13%
AR260504,5/28/2026,202000727AA,RR SLEEVE-CONTROL ARM,CHERY,Anhui Ruikai,OL,2 SET,"Rp161,949","Rp323,898","Rp122,009","Rp244,017","Rp306,000","Rp61,983",20.26%,"Rp39,940",5.53%,,,,,,,,,,,,,,TD260609,6/30/2026,GSH750102,"COVER(L),FRONT BUMPER",MAZDA,CHONGBANG ,OM,1,"Rp278,108","Rp278,108","Rp360,000","Rp81,892",22.75%
IGN260501,5/29/2026,5A75A49-03,"RELAY, STARTER",BMW MOTORRAD,Integrated Global Network Enterprise,OL,1 SET,Barang Non ATPM,,"Rp3,751,186","Rp3,751,186","Rp3,780,000","Rp28,814",0.76%,,,,,,,,,,,,,,,,TD260609,6/30/2026,GSH750104,"COVER(L),BUMPER",MAZDA,CHONGBANG ,OM,1,"Rp161,482","Rp161,482","Rp225,000","Rp63,518",28.23%
SHP260601,6/12/2026,SILICONEALP,SILICONE ALL PURPOSE,MAZDA,SHOPEE MARKETPLACE,OL,10 SET,"Rp27,300","Rp273,000","Rp26,100","Rp261,000","Rp500,000","Rp239,000",47.80%,"Rp1,200",-83.15%,,,,,,,,,,,,,,TD260609,6/30/2026,GSH7501V0,"PLATE(L),SEAL-F.BUMP",MAZDA,CHONGBANG ,OM,1,"Rp170,453","Rp170,453","Rp540,000","Rp369,547",68.43%
