Status,PO Number,PO Date,Purchasing Officer,Exchange Rate,Purchase Amount,Amount (IDR),Origin Warehouse,Freight Forwarder Name,Shipping Mode,PO Submission Date,PO Payment Date,Item Delivery Date,Estimated Arrival Date,Completed,PO Remarks,,,LEGEND / CARA INPUT - MASTER_SPAREPART,,
Tidak Complete,AR260603,22-Jun-2026,Denny,,,,,,,22-Jun-2026,,,,,,,,,,
Tidak Complete,AR260603,22-Jun-2026,Denny,,,,,,,22-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260610,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260604,25-Jun-2026,Denny,,,,,,,25-Jun-2026,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,TD260603,24-Jun-2026,Ruben,,,,,,,24-Jun-2026,,,,,,,,,,
Tidak Complete,AR260601,5-Jun-2026,Denny,,,,,,,5-Jun-2026,,,,,,,,,,
Tidak Complete,AR260601,5-Jun-2026,Denny,,,,,,,5-Jun-2026,,,,,,,,,,
Tidak Complete,AR260601,5-Jun-2026,Denny,,,,,,,5-Jun-2026,,,,,,,,,,
Tidak Complete,MAD260504,28-May-2026,Denny,,,,,,,28-May-2026,,,,,,,,,,
Tidak Complete,AR260603,22-Jun-2026,Denny,,,,,,,22-Jun-2026,,,,,,,,,,
Tidak Complete,TD260601,24-Jun-2026,Denny,,,,,,,24-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
